iter	Passed	Remaining
0	190	189816
1	356	177683
2	531	176487
3	707	176260
4	872	173638
5	1050	173983
6	1206	171173
7	1374	170449
8	1537	169255
9	1707	169080
10	1879	168986
11	2063	169872
12	2246	170588
13	2420	170438
14	2593	170274
15	2776	170727
16	2948	170504
17	3120	170230
18	3299	170344
19	3480	170553
20	3632	169343
21	3835	170511
22	4027	171078
23	4192	170477
24	4374	170597
25	4555	170668
26	4724	170262
27	4899	170095
28	5076	169986
29	5244	169563
30	5433	169828
31	5619	169974
32	5794	169786
33	5980	169909
34	6174	170237
35	6344	169891
36	6520	169711
37	6700	169625
38	6850	168803
39	7024	168579
40	7202	168477
41	7382	168389
42	7555	168160
43	7701	167335
44	7894	167536
45	8084	167662
46	8270	167697
47	8454	167684
48	8616	167224
49	8804	167286
50	8987	167242
51	9171	167212
52	9349	167061
53	9501	166454
54	9670	166164
55	9841	165894
56	10002	165485
57	10168	165155
58	10359	165218
59	10546	165222
60	10726	165120
61	10896	164860
62	11070	164655
63	11265	164755
64	11447	164662
65	11595	164095
66	11782	164081
67	11975	164140
68	12157	164035
69	12365	164279
70	12553	164250
71	12729	164066
72	12878	163533
73	13076	163634
74	13241	163307
75	13403	162958
76	13583	162821
77	13761	162670
78	13944	162569
79	14143	162652
80	14314	162412
81	14487	162185
82	14661	161980
83	14843	161862
84	15021	161704
85	15185	161390
86	15366	161255
87	15536	161014
88	15713	160843
89	15884	160607
90	16040	160232
91	16224	160126
92	16384	159794
93	16536	159388
94	16683	158927
95	16884	158992
96	17066	158879
97	17258	158848
98	17436	158688
99	17609	158486
100	17778	158249
101	17952	158053
102	18138	157964
103	18316	157802
104	18526	157912
105	18691	157642
106	18857	157379
107	19047	157320
108	19226	157164
109	19362	156663
110	19506	156227
111	19679	156033
112	19848	155802
113	20001	155451
114	20170	155228
115	20352	155101
116	20524	154895
117	20702	154743
118	20859	154430
119	21036	154264
120	21219	154151
121	21396	153982
122	21599	154008
123	21778	153853
124	21948	153640
125	22139	153568
126	22282	153169
127	22457	152989
128	22641	152875
129	22815	152687
130	22981	152448
131	23177	152412
132	23351	152222
133	23524	152028
134	23704	151883
135	23878	151698
136	24044	151462
137	24231	151361
138	24441	151394
