iter	Passed	Remaining
0	167	166968
1	188	94307
2	210	69834
3	229	57121
4	248	49520
5	269	44669
6	292	41545
7	314	38996
8	332	36609
9	354	35136
10	379	34125
11	401	33047
12	421	32011
13	442	31167
14	467	30680
15	491	30235
16	512	29609
17	533	29085
18	555	28701
19	578	28365
20	600	27990
21	623	27705
22	643	27317
23	666	27119
24	688	26835
25	709	26562
26	730	26323
27	753	26147
28	777	26021
29	800	25868
30	820	25654
31	842	25475
32	865	25349
33	888	25255
34	913	25175
35	937	25096
36	962	25044
37	984	24911
38	1007	24825
39	1028	24681
40	1049	24557
41	1073	24494
42	1096	24399
43	1117	24280
44	1140	24196
45	1163	24135
46	1186	24048
47	1210	24001
48	1231	23907
49	1255	23861
50	1279	23802
51	1303	23759
52	1324	23670
53	1348	23619
54	1371	23561
55	1397	23560
56	1422	23538
57	1442	23429
58	1464	23358
59	1488	23314
60	1514	23315
61	1536	23253
62	1559	23189
63	1584	23175
64	1613	23202
65	1636	23165
66	1659	23109
67	1688	23141
68	1712	23104
69	1734	23048
70	1756	22986
71	1780	22949
72	1803	22906
73	1825	22838
74	1848	22792
75	1871	22758
76	1896	22728
77	1918	22675
78	1944	22669
79	1966	22618
80	1990	22585
81	2014	22550
82	2035	22493
83	2057	22432
84	2078	22376
85	2104	22368
86	2127	22326
87	2148	22268
88	2177	22285
89	2208	22325
90	2234	22320
91	2256	22273
92	2282	22257
93	2305	22219
94	2328	22184
95	2351	22147
96	2373	22092
97	2395	22046
98	2417	22005
99	2439	21956
100	2460	21903
101	2484	21874
102	2507	21837
103	2529	21796
104	2551	21751
105	2576	21732
106	2603	21728
107	2624	21678
108	2645	21626
109	2668	21589
110	2692	21563
111	2715	21528
112	2740	21509
113	2762	21466
114	2784	21425
115	2805	21377
116	2827	21342
117	2852	21321
118	2874	21280
119	2904	21302
120	2931	21297
121	2956	21274
122	2982	21264
123	3006	21241
124	3030	21211
125	3058	21212
126	3083	21199
127	3112	21200
128	3136	21178
129	3162	21165
130	3188	21149
131	3212	21121
132	3238	21112
133	3266	21107
134	3291	21091
135	3316	21070
136	3342	21057
137	3366	21027
138	3388	20991
139	3412	20960
140	3435	20930
141	3457	20892
142	3478	20844
143	3500	20806
144	3522	20772
145	3544	20729
146	3565	20689
147	3587	20650
148	3609	20615
149	3630	20575
150	3653	20540
151	3674	20500
152	3697	20466
153	3719	20431
154	3741	20395
155	3765	20373
156	3786	20332
157	3807	20292
158	3828	20251
159	3849	20212
160	3870	20170
161	3894	20143
162	3917	20117
163	3943	20104
164	3966	20072
165	3988	20040
166	4012	20015
167	4036	19990
168	4060	19967
169	4079	19918
170	4100	19880
171	4125	19859
172	4148	19829
173	4169	19793
174	4191	19760
175	4215	19737
176	4237	19703
177	4259	19671
178	4281	19638
179	4305	19613
180	4333	19606
181	4353	19567
182	4374	19531
183	4394	19488
184	4417	19461
185	4441	19437
186	4464	19408
187	4484	19370
188	4506	19337
189	4528	19304
190	4550	19274
191	4572	19244
192	4596	19219
193	4617	19184
194	4640	19155
195	4661	19122
196	4681	19082
197	4702	19046
198	4721	19006
199	4747	18989
200	4768	18954
201	4789	18920
202	4811	18888
203	4835	18867
204	4859	18844
205	4880	18811
206	4901	18776
207	4923	18745
208	4943	18708
209	4962	18667
210	4987	18648
211	5008	18615
212	5030	18588
213	5052	18558
214	5077	18540
215	5106	18534
216	5130	18511
217	5152	18483
218	5177	18462
219	5204	18453
220	5234	18451
221	5256	18422
222	5277	18388
223	5299	18359
224	5323	18335
225	5345	18305
226	5368	18280
227	5389	18249
228	5412	18224
229	5434	18195
230	5460	18176
231	5482	18148
232	5506	18126
233	5529	18100
234	5555	18083
235	5575	18049
236	5598	18024
237	5619	17992
238	5644	17971
239	5664	17936
240	5686	17909
241	5709	17882
242	5730	17853
243	5754	17830
244	5777	17803
245	5800	17778
246	5828	17768
247	5850	17741
248	5875	17720
249	5901	17703
250	5922	17674
251	5944	17645
252	5966	17617
253	5989	17591
254	6009	17557
255	6029	17523
256	6054	17504
257	6076	17475
258	6096	17442
259	6118	17413
260	6141	17388
261	6165	17367
262	6188	17341
263	6209	17310
264	6231	17284
265	6257	17267
266	6281	17245
267	6304	17218
268	6326	17190
269	6351	17172
270	6373	17143
271	6392	17108
272	6416	17087
273	6437	17056
274	6457	17025
275	6481	17002
276	6507	16986
277	6527	16953
278	6552	16933
279	6578	16915
280	6598	16884
281	6622	16860
282	6642	16829
283	6667	16809
284	6689	16782
285	6711	16755
286	6735	16732
287	6756	16704
288	6777	16673
289	6801	16652
290	6824	16627
291	6848	16604
292	6871	16580
293	6894	16557
294	6917	16530
295	6940	16506
296	6964	16485
297	6987	16460
298	7016	16449
299	7038	16423
300	7066	16411
301	7087	16381
302	7109	16355
303	7132	16329
304	7158	16313
305	7181	16287
306	7212	16280
307	7236	16259
308	7263	16242
309	7290	16227
310	7320	16217
311	7345	16198
312	7373	16185
313	7402	16172
314	7430	16158
315	7460	16149
316	7491	16140
317	7514	16116
318	7539	16095
319	7563	16072
320	7587	16049
321	7609	16023
322	7635	16003
323	7657	15976
324	7679	15950
325	7701	15923
326	7724	15898
327	7748	15875
328	7773	15853
329	7797	15832
330	7821	15807
331	7844	15783
332	7871	15766
333	7896	15745
334	7919	15721
335	7940	15691
336	7962	15665
337	7988	15646
338	8012	15622
339	8033	15595
340	8058	15573
341	8081	15549
342	8106	15527
343	8129	15502
344	8151	15476
345	8174	15451
346	8196	15425
347	8220	15401
348	8242	15375
349	8265	15350
350	8290	15328
351	8312	15301
352	8335	15276
353	8359	15254
354	8380	15226
355	8404	15203
356	8424	15173
357	8448	15150
358	8471	15126
359	8494	15101
360	8518	15077
361	8542	15055
362	8564	15029
363	8586	15002
364	8611	14981
365	8634	14957
366	8656	14931
367	8679	14906
368	8700	14877
369	8722	14852
370	8749	14834
371	8774	14813
372	8802	14796
373	8825	14772
374	8847	14745
375	8871	14722
376	8894	14698
377	8917	14673
378	8939	14648
379	8962	14622
380	8983	14595
381	9005	14569
382	9029	14546
383	9060	14534
384	9083	14510
385	9105	14483
386	9130	14461
387	9150	14433
388	9173	14408
389	9195	14383
390	9221	14362
391	9244	14338
392	9265	14310
393	9288	14287
394	9312	14263
395	9335	14238
