course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,profit,published_date,published_time,year,month,day,Clean_title
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Business Finance,429400,2017-01-18,20:58:58Z,2017,1,18,Ultimate Investment Banking Course
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39 hours,2017-03-09T16:34:20Z,Business Finance,209400,2017-03-09,16:34:20Z,2017,3,9,Complete GST Course  Certification  Grow Practice
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5 hours,2016-12-19T19:26:30Z,Business Finance,97830,2016-12-19,19:26:30Z,2016,12,19,Financial Modeling Business Analysts Consultants
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3 hours,2017-05-30T20:07:24Z,Business Finance,232845,2017-05-30,20:07:24Z,2017,5,30,Beginner Pro  Financial Analysis Excel 2017
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2 hours,2016-12-13T14:57:18Z,Business Finance,255200,2016-12-13,14:57:18Z,2016,12,13,Maximize Profits Trading Options
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,All Levels,3 hours,2014-05-02T15:13:30Z,Business Finance,1383150,2014-05-02,15:13:30Z,2014,5,2,Trading Penny Stocks Guide Levels 2017
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Beginner Level,1 hour,2016-02-21T18:23:12Z,Business Finance,100100,2016-02-21,18:23:12Z,2016,2,21,Investing Trading Beginners Mastering Price Charts
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5 hours,2015-01-30T22:13:03Z,Business Finance,277115,2015-01-30,22:13:03Z,2015,1,30,Trading Stock Chart Patterns Immediate Explosive Gains
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5 hours,2015-05-28T00:14:03Z,Business Finance,1008540,2015-05-28,00:14:03Z,2015,5,28,Options Trading 3  Advanced Stock Profit Success Method
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1 hour,2017-04-18T18:13:32Z,Business Finance,165400,2017-04-18,18:13:32Z,2017,4,18,Investment Strategy Need Retirement
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,All Levels,5 hours,2015-09-11T16:47:02Z,Business Finance,856800,2015-09-11,16:47:02Z,2015,9,11,Forex Trading Secrets Pros Amazons AWS
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,All Levels,1 hour,2016-10-18T22:52:31Z,Business Finance,276000,2016-10-18,22:52:31Z,2016,10,18,Trading Options Money Flow
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30,3607,21,19,All Levels,1.5 hours,2016-02-03T18:04:01Z,Business Finance,108210,2016-02-03,18:04:01Z,2016,2,3,Financial Management Risk Return Securities
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195,4061,52,16,All Levels,2 hours,2016-03-16T15:40:19Z,Business Finance,791895,2016-03-16,15:40:19Z,2016,3,16,Forex Trading Course Work Smarter Harder Proven Results
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7 hours,2017-04-28T16:41:44Z,Business Finance,58800,2017-04-28,16:41:44Z,2017,4,28,Python Algo Trading Sentiment Trading News
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,True,75,2276,106,19,Intermediate Level,1.5 hours,2015-06-22T21:18:35Z,Business Finance,170700,2015-06-22,21:18:35Z,2015,6,22,Short Selling Learn Sell Stocks Fall
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,True,20,4919,79,16,Beginner Level,1.5 hours,2016-01-08T17:21:26Z,Business Finance,98380,2016-01-08,17:21:26Z,2016,1,8,Basic Technical Analysis Learn structure market
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,True,200,2666,115,52,All Levels,4 hours,2015-08-10T21:07:35Z,Business Finance,533200,2015-08-10,21:07:35Z,2015,8,10,Complete Chart Pattern Trading Course Proven Approach
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,True,50,5354,24,23,All Levels,1.5 hours,2015-09-21T18:10:34Z,Business Finance,267700,2015-09-21,18:10:34Z,2015,9,21,7 Deadly Mistakes Investing Slash Profits
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,True,95,8095,249,12,Beginner Level,35 mins,2013-06-09T00:21:26Z,Business Finance,769025,2013-06-09,00:21:26Z,2013,6,9,Financial Statements Easy
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3,25,All Levels,2 hours,2017-06-06T02:54:04Z,Business Finance,161800,2017-06-06,02:54:04Z,2017,6,6,Winning Forex Trading Live Forex Trading Examples
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,True,200,2295,84,39,All Levels,4 hours,2016-05-02T19:26:48Z,Business Finance,459000,2016-05-02,19:26:48Z,2016,5,2,Forex Traders  Create Trading Robot Coding
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,True,75,10149,83,16,All Levels,2 hours,2015-05-26T17:25:46Z,Business Finance,761175,2015-05-26,17:25:46Z,2015,5,26,Create Business Home Trading Stocks Today 2017
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,True,50,1916,38,23,Beginner Level,1 hour,2016-12-05T22:14:17Z,Business Finance,95800,2016-12-05,22:14:17Z,2016,12,5,Introduction Accounting  Mastering Financial Statements
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,True,45,2507,333,40,All Levels,2 hours,2016-05-30T18:53:46Z,Business Finance,112815,2016-05-30,18:53:46Z,2016,5,30,Complete Ethereum Course 01 Ether Wallet
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,True,150,5786,518,50,All Levels,5 hours,2015-01-31T15:34:05Z,Business Finance,867900,2015-01-31,15:34:05Z,2015,1,31,Beginner Pro PowerPoint Complete PowerPoint Training
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,True,200,5334,373,42,All Levels,4.5 hours,2014-11-28T17:49:03Z,Business Finance,1066800,2014-11-28,17:49:03Z,2014,11,28,Investing 101 Complete Online Investing Course
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,True,175,4005,237,25,Intermediate Level,2 hours,2015-04-12T20:13:47Z,Business Finance,700875,2015-04-12,20:13:47Z,2015,4,12,Create Hedge Fund Trade Stocks Like Fund Manager
